Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Matt Olson,30,ATL,1443.1,0.996,14.0,13.0,1.7,5.0,11.0,96.14,93.18,65.51,70.68,88.64,77.78
Jarren Duran,27,BOS,1421.1,0.984,2.0,23.0,4.3,10.0,13.0,58.86,99.55,81.94,86.65,35.68,81.88
Anthony Volpe,23,NYY,1416.2,0.972,4.0,6.0,3.5,13.0,3.0,67.95,72.27,76.62,92.41,15.0,59.18
Pete Alonso,29,NYM,1412.1,0.995,-1.0,-3.0,-0.2,-9.0,-15.0,40.23,30.91,45.6,4.97,81.36,5.31
Willy Adames,28,MIL,1406.1,0.963,-8.0,-16.0,-4.3,0.0,5.0,10.23,1.59,13.89,42.93,6.14,63.04
Bobby Witt Jr.,24,KCR,1393.2,0.974,-1.0,2.0,1.7,16.0,31.0,40.23,57.95,65.51,97.38,17.73,98.31
Elly De La Cruz,22,CIN,1391.0,0.954,-1.0,-2.0,0.8,14.0,9.0,40.23,35.0,55.79,94.5,1.36,73.67
Jeremy Peña,26,HOU,1388.0,0.969,6.0,4.0,-2.2,-2.0,3.0,76.82,64.55,25.46,30.1,11.36,59.18
Gunnar Henderson,23,BAL,1384.0,0.961,1.0,5.0,-1.6,0.0,-4.0,52.27,68.18,32.87,42.93,4.09,30.19
Marcus Semien,33,TEX,1382.2,0.989,14.0,10.0,8.6,19.0,20.0,96.14,83.86,92.36,98.95,51.59,92.51
Orlando Arcia,29,ATL,1381.1,0.981,-3.0,-1.0,-1.4,4.0,6.0,27.95,40.45,34.26,65.45,30.45,65.7
Ezequiel Tovar,22,COL,1375.2,0.988,17.0,10.0,5.0,15.0,19.0,98.86,83.86,85.65,96.07,47.27,91.55
Nick Castellanos,32,PHI,1363.2,0.989,-3.0,-11.0,-4.5,-8.0,-26.0,27.95,4.77,12.5,7.07,51.59,0.48
Eugenio Suárez,32,ARI,1361.2,0.974,3.0,-4.0,0.6,3.0,0.0,63.64,26.82,52.78,61.26,17.73,45.17
Gleyber Torres,27,NYY,1342.2,0.969,-9.0,-11.0,-3.6,-4.0,-11.0,6.82,4.77,18.29,20.94,11.36,12.32
Matt Chapman,31,SFG,1338.0,0.963,15.0,17.0,8.1,11.0,13.0,97.95,97.5,91.2,89.53,6.14,81.88
Willi Castro,27,MIN,1334.1,0.982,-26.0,-18.0,-6.2,0.0,-7.0,0.45,0.91,7.18,42.93,32.27,20.05
Ceddanne Rafaela,23,BOS,1333.1,0.975,-1.0,10.0,-4.4,-2.0,23.0,40.23,83.86,12.96,30.1,20.0,95.41
Zach Neto,23,LAA,1332.2,0.972,14.0,11.0,1.6,-6.0,-5.0,96.14,88.86,64.12,11.26,15.0,26.33
Andrés Giménez,25,CLE,1331.0,0.986,14.0,20.0,8.6,21.0,23.0,96.14,98.41,92.36,100.0,40.68,95.41
Juan Soto,25,NYY,1329.2,0.994,2.0,0.0,-6.5,-4.0,-13.0,58.86,46.59,5.79,20.94,75.91,7.49
Jackson Merrill,21,SDP,1323.1,0.993,-2.0,0.0,5.5,12.0,15.0,33.18,46.59,87.27,90.84,72.05,86.47
Corbin Carroll,23,ARI,1317.0,0.995,-10.0,-3.0,1.0,10.0,13.0,4.77,30.91,58.1,86.65,81.36,81.88
Paul Goldschmidt,36,STL,1313.0,0.996,-6.0,0.0,-1.0,0.0,-2.0,16.36,46.59,37.27,42.93,88.64,38.41
Francisco Lindor,30,NYM,1311.2,0.979,6.0,1.0,-0.4,15.0,17.0,76.82,52.5,42.82,96.07,25.45,88.16
